Sample,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44
2023-03-22_T_HORAO-91-BF_FR_S1_1_Method3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6653594486736255,0.4241371786529405,0.4326246204811183,0.21357576126346378
2022-11-22_T_HORAO-67-BF_FR_S1_1_Method3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5900046199664506,0.42937265039203437,0.40363190162700757,0.44968038810788014
2024-09-18_T_AUTOPSY-BF_FR_S4_1_Method3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6044845782248938,0.5758327849222955,0.6052998386816387,0.6151525684967984
2023-05-26_T_HORAO-103-BF_FR_S1_1_Method3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6024282996016813,0.28490693923527527,0.3422819015101589,0.5268542828994227
2023-05-16_T_HORAO-101-BF_FR_S1_1_Method3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6412783383739689,0.38207173480805007,0.3064530586880696,0.39801078208407215
