Sample,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44,Diattenuation_MSE,Diattenuation_MAE,Diattenuation_R2,Depolarization_MSE,Depolarization_MAE,Depolarization_R2,Retardance_MSE,Retardance_MAE,Retardance_R2,Orientation_MSE,Orientation_MAE,Orientation_R2
2023-03-22_T_HORAO-91-BF_FR_S1_1_MethodA,0.8725394933831537,0.9671615294432314,0.9824113553195469,0.9918949735581933,0.9722666816649541,0.8821140293178926,0.9306804986323877,0.960005632438331,0.9604605336481232,0.9616853044899811,0.8818865111346077,0.9685686385303154,0.9771243726804366,0.9625866992452827,0.9638280994959462,0.9061207847505778,0.0001889106401950403,0.00189969585652383,0.6915283275583443,0.0043102927436042505,0.011594627864120742,0.889680945190944,0.0007495052079045093,0.003570756328217675,0.9731457716845655,0.041820126119195784,0.03785270838745268,0.9409411158618849
2022-11-22_T_HORAO-67-BF_FR_S1_1_MethodA,0.6604611787896136,0.8855208269640715,0.9252943202405483,0.9660818084656374,0.9002551639314181,0.687123757470162,0.8021318919828058,0.8808076823760156,0.876577649723782,0.8458607754244173,0.6749030688219742,0.8771158155623668,0.9163533809270504,0.8726632115353645,0.8685033086892147,0.7264750804352451,0.0005802339504514694,0.00686250351568737,0.18312483538033264,0.01251811020678237,0.03654053401346666,0.7962247748862892,0.004935450103648989,0.016964847876819046,0.6569559355484647,0.08632344881895633,0.09155594843013815,0.8561525134805605
2024-09-18_T_AUTOPSY-BF_FR_S4_1_MethodA,0.8579074493938496,0.9814506817820284,0.9698246391361723,0.9449347586503268,0.9411690031969409,0.8576874669864332,0.9445760924363819,0.9115074103076263,0.94784843596663,0.9494420614304925,0.8585535791802273,0.9300216776170057,0.928386561715928,0.9277880686493157,0.9468299234289681,0.8575074039859553,0.00010452363906016893,0.002612437778473973,0.6911301370178222,0.0025423454420651277,0.011278455540358431,0.966033560042952,0.0010081486824257406,0.007090596380570336,0.9235135862900059,0.04349772267292508,0.05316594369527568,0.9421630211643609
2023-05-26_T_HORAO-103-BF_FR_S1_1_MethodA,0.7004205638859442,0.8695170472362845,0.9312871048602077,0.955583816438881,0.8970878903020575,0.7038300645302793,0.8186119700905863,0.8916553232342714,0.8861400618332061,0.8111882142481976,0.707427102500912,0.8870873150562666,0.9094306024535354,0.8728498706659263,0.8817799174644778,0.7445756296097884,0.0006284856872250069,0.008034334048995154,0.0924065413423717,0.008526059942430195,0.029828025122883847,0.8319575769122947,0.0013992070855784835,0.010927120140693783,0.6507126026465415,0.0661159245571401,0.07496381339236971,0.8807664187687468
2023-05-16_T_HORAO-101-BF_FR_S1_1_MethodA,0.7110790575408775,0.8826393812210059,0.9397324065382741,0.9615253545362572,0.8837872616424829,0.7054954137255418,0.836154211615891,0.8760085538829399,0.8863340821551857,0.8871670172378118,0.7084395635468829,0.8836123231726695,0.9137189341229736,0.8906188414172074,0.8754764792099261,0.7447062363285895,0.0004848934616714987,0.006377461660776233,0.5371673355994491,0.009323744004018706,0.03193293403388934,0.8691520247809805,0.0011704246494937116,0.010293088421833177,0.9758505957266719,0.0876921403093955,0.09151374582758695,0.8696263506376889
