Sample,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44
2023-03-22_T_HORAO-91-BF_FR_S1_1_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6833071524187543,0.34053203172433344,0.4470700420668968,0.30393964304207355
2022-11-22_T_HORAO-67-BF_FR_S1_1_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6466908728412408,0.37375004384888316,0.397202293177303,0.6955941261398878
2024-09-18_T_AUTOPSY-BF_FR_S4_1_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6684276392162778,0.6337570449856841,0.6612372168303211,0.6977736703014948
2023-05-26_T_HORAO-103-BF_FR_S1_1_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.675613864459032,0.3495122660254732,0.4052824074976564,0.7039123309774132
2023-05-16_T_HORAO-101-BF_FR_S1_1_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7181348415606325,0.3272113592363887,0.335515428713218,0.599288610161877
