Sample,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44,Diattenuation_MSE,Diattenuation_MAE,Diattenuation_R2,Depolarization_MSE,Depolarization_MAE,Depolarization_R2,Retardance_MSE,Retardance_MAE,Retardance_R2,Orientation_MSE,Orientation_MAE,Orientation_R2
2023-03-22_T_HORAO-91-BF_FR_S1_1_MethodB,0.8725394933831537,0.9671615294432314,0.9824113553195469,0.9918949735581933,0.9722666816649541,0.8821140293178926,0.9306804986323877,0.960005632438331,0.9604605336481232,0.9616853044899811,0.8818865111346077,0.9685686385303154,0.6661658167503631,0.42539796839400873,0.4347249507033013,0.21469361477283502,0.0001889106401950403,0.00189969585652383,0.6915283275583443,0.005026109751787232,0.03297933687540914,0.8713600884750821,0.027024371895159327,0.10502648222015866,0.03173634379031576,0.9391741961971359,0.6499974266315811,-0.32631307425097544
2022-11-22_T_HORAO-67-BF_FR_S1_1_MethodB,0.6604611787896136,0.8855208269640715,0.9252943202405483,0.9660818084656374,0.9002551639314181,0.687123757470162,0.8021318919828058,0.8808076823760156,0.876577649723782,0.8458607754244173,0.6749030688219742,0.8771158155623668,0.591724580867758,0.43471196630366177,0.40517757001275606,0.45810201168443454,0.0005802339504514694,0.00686250351568737,0.18312483538033264,0.013036848730776871,0.052133584989672785,0.7877805242960634,0.014753177719668038,0.0752373255423001,-0.025436372011734543,0.6221986053770383,0.4944889847380012,-0.03681799932596341
2024-09-18_T_AUTOPSY-BF_FR_S4_1_MethodB,0.8579074493938496,0.9814506817820284,0.9698246391361723,0.9449347586503268,0.9411690031969409,0.8576874669864332,0.9445760924363819,0.9115074103076263,0.94784843596663,0.9494420614304925,0.8585535791802273,0.9300216776170057,0.6106048580972451,0.5756991369657081,0.6177843895678229,0.6139126039331512,0.00010452363906016893,0.002612437778473973,0.6911301370178222,0.002735931124610926,0.02150005202730582,0.9634472016535922,0.005273761274623201,0.049938749804299416,0.5998892884648612,0.553475480372121,0.40080643834030494,0.26406837698073715
2023-05-26_T_HORAO-103-BF_FR_S1_1_MethodB,0.7004205638859442,0.8695170472362845,0.9312871048602077,0.955583816438881,0.8970878903020575,0.7038300645302793,0.8186119700905863,0.8916553232342714,0.8861400618332061,0.8111882142481976,0.707427102500912,0.8870873150562666,0.6035767637033372,0.2892934833625643,0.34735804191241215,0.5324898946767961,0.0006284856872250069,0.008034334048995154,0.0924065413423717,0.009075239293952595,0.04699047087595517,0.8211336524310349,0.004429756924289556,0.049038219341868514,-0.10581077164418962,0.6052063526112228,0.4828096660329404,-0.09143026115253461
2023-05-16_T_HORAO-101-BF_FR_S1_1_MethodB,0.7110790575408775,0.8826393812210059,0.9397324065382741,0.9615253545362572,0.8837872616424829,0.7054954137255418,0.836154211615891,0.8760085538829399,0.8863340821551857,0.8871670172378118,0.7084395635468829,0.8836123231726695,0.6391072603018447,0.3883711260913046,0.3069981227091753,0.4036898334947472,0.0004848934616714987,0.006377461660776233,0.5371673355994491,0.00987578690108447,0.04940369344249329,0.8614047405050541,0.038467512107271506,0.08490453530226225,0.20629875518301355,0.7859309964532044,0.5672421710307046,-0.16845924609715102
