Sample,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44,Diattenuation_MSE,Diattenuation_MAE,Diattenuation_R2,Depolarization_MSE,Depolarization_MAE,Depolarization_R2,Retardance_MSE,Retardance_MAE,Retardance_R2,Orientation_MSE,Orientation_MAE,Orientation_R2
2023-03-22_T_HORAO-91-BF_FR_S1_1_MethodC,0.880378032928943,0.9694316447642841,0.98354391229301,0.9934758200459727,0.9744229943360375,0.8880414421885456,0.9338394635789048,0.9635485275322808,0.9618230781776002,0.9644758995681009,0.8901069085609572,0.9711095764070962,0.6653594486736255,0.4241371786529405,0.4326246204811183,0.21357576126346378,0.00018142597255844294,0.001715951674126661,0.7037500210592895,0.004057059422038532,0.03126120098918044,0.8961622823861358,0.027317696794586482,0.10501513217580463,0.021226725262325163,0.9431711922784339,0.6520056610162714,-0.33195768009919946
2022-11-22_T_HORAO-67-BF_FR_S1_1_MethodC,0.6513900991577283,0.896221181411734,0.9319781950872744,0.9685837629824521,0.9110787202868281,0.6798664701458762,0.8036705663694811,0.88849804914076,0.8808486303921003,0.8537566353888786,0.6695651230288615,0.8879647077598738,0.5900046199664506,0.42937265039203437,0.40363190162700757,0.44968038810788014,0.000520968194554128,0.00617810175744518,0.26656139414646607,0.010768924450964288,0.0476488519380858,0.8246987789707398,0.016447274464807513,0.07588138099527715,-0.14318649020198726,0.6326363468309029,0.4992180629609748,-0.05421122090851527
2024-09-18_T_AUTOPSY-BF_FR_S4_1_MethodC,0.8578319069987853,0.9770403731154368,0.9653465765420363,0.9322739668794884,0.9302380299926765,0.8566141723854236,0.9312868845026407,0.9023057478082791,0.9389963149129772,0.9403374657926112,0.8577785937511573,0.9149596721742511,0.6044845782248938,0.5758327849222955,0.6052998386816387,0.6151525684967984,0.00011694962219157901,0.002961667202657126,0.6544110585229743,0.0028725646459646062,0.022604178303644775,0.9616217399274273,0.005488089113333072,0.05084341539293461,0.5836286237167927,0.5595133509883019,0.4074982032679313,0.2560400901284293
2023-05-26_T_HORAO-103-BF_FR_S1_1_MethodC,0.6950324257832837,0.871036471683905,0.9311913566471491,0.95556228860375,0.9005233982272074,0.6935990188413738,0.8120260750851273,0.8963941262107843,0.8870934812764142,0.8116273296299943,0.7011792988411116,0.8936651577442779,0.6024282996016813,0.28490693923527527,0.3422819015101589,0.5268542828994227,0.0006255662630632408,0.007829528131674132,0.0966224691289933,0.008059433832194606,0.044925310275311645,0.8411544372169888,0.004452403778422625,0.049113694071279426,-0.11146415978088009,0.6091077034370428,0.4852875168957797,-0.09846596448297795
2023-05-16_T_HORAO-101-BF_FR_S1_1_MethodC,0.71059395202598,0.8876144060526604,0.9407040482324558,0.9638458120804945,0.8910605739365013,0.6996742260218716,0.8364747448065978,0.8826196053777973,0.8893087751642477,0.8927302764338535,0.7073064927246522,0.8949390518394941,0.6412783383739689,0.38207173480805007,0.3064530586880696,0.39801078208407215,0.0005521026272006896,0.006327644189185161,0.4730159299550337,0.008542970123782733,0.04640229829288087,0.8801092841489704,0.03841923170625697,0.08462905354056945,0.20729492603697053,0.7888858227514391,0.5691957565819318,-0.17285224513188124
