Sample,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44
2023-03-22_T_HORAO-91-BF_FR_S1_1_Method25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6661658167503631,0.42539796839400873,0.4347249507033013,0.21469361477283502
2022-11-22_T_HORAO-67-BF_FR_S1_1_Method25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.591724580867758,0.43471196630366177,0.40517757001275606,0.45810201168443454
2024-09-18_T_AUTOPSY-BF_FR_S4_1_Method25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6106048580972451,0.5756991369657081,0.6177843895678229,0.6139126039331512
2023-05-26_T_HORAO-103-BF_FR_S1_1_Method25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6035767637033372,0.2892934833625643,0.34735804191241215,0.5324898946767961
2023-05-16_T_HORAO-101-BF_FR_S1_1_Method25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6391072603018447,0.3883711260913046,0.3069981227091753,0.4036898334947472
