Sample,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44
2023-03-22_T_HORAO-91-BF_FR_S1_1_B_vs_C,0.9416874361466298,0.9886432357681442,0.9942300111475126,0.9979549406707356,0.9887956803815885,0.9489512779304257,0.9699950239497619,0.9836704186943128,0.9852436460193615,0.9833116357283516,0.9477085095172312,0.9885064790722673,0.9977166797456257,0.9864705147055081,0.9845747217640581,0.9547955302199156
2022-11-22_T_HORAO-67-BF_FR_S1_1_B_vs_C,0.8434659729237582,0.9650012298309526,0.9786042621691046,0.9891091498407889,0.9556593142690771,0.8590340654517509,0.9182218796229596,0.9443335915656351,0.9582380311763243,0.9399299026195781,0.8540919919376249,0.9414656615612421,0.9907810898432113,0.9514607224159056,0.9425848015851876,0.873320568970795
2024-09-18_T_AUTOPSY-BF_FR_S4_1_B_vs_C,0.8894405315957434,0.9944619378933633,0.9950628845897808,0.9777487342680664,0.9819224841810584,0.8894940825749617,0.9852134770755161,0.9487166555625112,0.977714161884382,0.9856942171645933,0.8903716896564092,0.962275863676145,0.9863176141859794,0.9725220146693211,0.9597288889422464,0.8913737779269348
2023-05-26_T_HORAO-103-BF_FR_S1_1_B_vs_C,0.8688439071181981,0.9564923483351945,0.9856188351297648,0.9890291957276234,0.9564189724668494,0.8723820856627784,0.9363484275232361,0.9612897167139641,0.9704187298404889,0.9395596536662458,0.8728776934900085,0.9562773335242061,0.9908128330278507,0.9654744091974987,0.953914246666722,0.883852273128402
2023-05-16_T_HORAO-101-BF_FR_S1_1_B_vs_C,0.8695059057541018,0.9674838448854315,0.9884764000859965,0.9939124257165088,0.9555068272554474,0.8690218485181503,0.9287029301548589,0.958563822299398,0.9703484265384682,0.9588590281290864,0.8703758401538176,0.9621196115798194,0.995566318189668,0.9639495745394824,0.9598586560423858,0.8777391000113778
