Sample,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44
2023-03-22_T_HORAO-91-BF_FR_S1_1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.3112741750555753,0.2786718367010099,0.3037703348199694,0.28689796916798027
2022-11-22_T_HORAO-67-BF_FR_S1_1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33505046444391645,0.3580769896482164,0.35159978516106744,0.684392020447594
2024-09-18_T_AUTOPSY-BF_FR_S4_1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0951635114292573,0.32957406860971844,0.46261622896944227,0.697773669039965
2023-05-26_T_HORAO-103-BF_FR_S1_1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.34050930336434504,0.2259247174505073,0.23632288558905226,0.7035329694884925
2023-05-16_T_HORAO-101-BF_FR_S1_1,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.29948775213009426,0.20034346360995683,0.1620546766873144,0.5984078697805195
