Sample,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44
Sample25_550_PR_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9817498860203295,0.9767322349226232,0.9741798763633248,0.9924985147692751
Sample2_550_PR_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9376464301691771,0.934800389399806,0.9415161029531894,0.969839761807004
Sample23_550_PR_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9370663321940764,0.9493927112239812,0.9389628932828207,0.988271669707041
Sample18_550_PR_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9869404487487358,0.9712908517463585,0.9565959452671575,0.9733728268616493
Sample19_550_PR_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9857566722155541,0.9875772310286041,0.983870786030245,0.9917585448537128
