Sample,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44
Sample25_550_PR_A_vs_C,0.9849037684027451,0.998360673738896,0.9982126382546423,0.9982866158656386,0.9989292257685293,0.9822480366536358,0.9984591687146726,0.9969688366635355,0.9978707871048348,0.9978594377251597,0.9816780266490568,0.994151895185207,0.9815479462574781,0.9744486761694517,0.9691298654595903,0.9770898346544092
Sample2_550_PR_A_vs_C,0.9791285714657016,0.9977138163401955,0.9962987136757007,0.9973527317863687,0.9979850989568959,0.9709431502735391,0.997994046548584,0.9954012903570317,0.9982766460086573,0.9960541391385156,0.9712329010581333,0.9936997518457484,0.9375202950220449,0.9317678698904234,0.9369546195546247,0.9449552363072027
Sample23_550_PR_A_vs_C,0.9916075880015526,0.9987365678671324,0.997978055790997,0.9991995640241852,0.9990018034462409,0.9870478530855923,0.9990764612358405,0.9983571139057621,0.998334155065553,0.9988026791942206,0.9871774370211265,0.9976580184993065,0.9369822177738555,0.9483416489661397,0.9370641426482439,0.9784245906209394
Sample18_550_PR_A_vs_C,0.9762244767585982,0.9980033861457137,0.9945588884397856,0.9985614077869247,0.9983353352561485,0.9691511039236209,0.9990527117172843,0.9976160207913403,0.9937249374871484,0.9988556313609581,0.9690650341363789,0.9970689096134274,0.9867127543290646,0.9693742312209068,0.9545595722179203,0.945275401151214
Sample19_550_PR_A_vs_C,0.9945165517242838,0.9992611388923477,0.9989015223715105,0.999453256603425,0.9995115840361505,0.9915809965182788,0.9993966456124099,0.9991416367694582,0.9988675634012114,0.9994608134132156,0.9916187403506909,0.998647806504145,0.9856481800172074,0.9869591869977347,0.9854829805521188,0.9847599147634151
