Sample,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44
2023-03-22_T_HORAO-91-BF_FR_S1_1_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6833071522785742,0.340532031941221,0.44707004052136023,0.3039396254575732
2022-11-22_T_HORAO-67-BF_FR_S1_1_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6466908727913958,0.37375004476040974,0.3972022932002341,0.6955941120574753
2024-09-18_T_AUTOPSY-BF_FR_S4_1_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6684276390137583,0.6337570446403862,0.6612372160006283,0.697773669039965
2023-05-26_T_HORAO-103-BF_FR_S1_1_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.675613864411763,0.34951226654582673,0.405282407527097,0.7039123217808202
2023-05-16_T_HORAO-101-BF_FR_S1_1_A_vs_B,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.718134840967413,0.32721135883535146,0.335515428092973,0.5992885974231116
