Sample,M11,M12,M13,M14,M21,M22,M23,M24,M31,M32,M33,M34,M41,M42,M43,M44
2023-03-22_T_HORAO-91-BF_FR_S1_1_A_vs_C,0.9430126535185355,0.9890293006115344,0.9944958392918898,0.9979918603696167,0.9891661229704846,0.9503284761091121,0.9705505959262947,0.9837148909491814,0.9857484049637069,0.9835725327027989,0.9487618624597388,0.9880661474173206,0.6817575587300904,0.33799994683394463,0.4424578347872598,0.2622167666307708
2022-11-22_T_HORAO-67-BF_FR_S1_1_A_vs_C,0.8449358714088577,0.9637269699350609,0.9779883959371587,0.9890351414339142,0.9553398269710017,0.8599644419727521,0.9186121859926368,0.9437658949760636,0.9576630388183417,0.9406392340057802,0.8556013517603561,0.9409638889022813,0.6431899664623639,0.3616044552693847,0.38489708988719373,0.5934683934657642
2024-09-18_T_AUTOPSY-BF_FR_S4_1_A_vs_C,0.8882576811738021,0.9943194149758217,0.9942434259767199,0.9801703372591941,0.9813574003639998,0.8885583672261699,0.985156731222706,0.9440833330614985,0.9774466691210366,0.984577921352677,0.8894915458146232,0.9635875282301752,0.6637431969086168,0.6152574245884371,0.6384143680692674,0.5905713770791906
2023-05-26_T_HORAO-103-BF_FR_S1_1_A_vs_C,0.8693410543619479,0.9570896745627672,0.9853231696917539,0.9891876079779128,0.9563155820975744,0.872943111015548,0.9353165127899998,0.9613711323026491,0.9702186792109957,0.9396799931132503,0.8738911229517865,0.9563554117641657,0.671080310585195,0.3387583100614998,0.3878900431519109,0.5914725573914947
2023-05-16_T_HORAO-101-BF_FR_S1_1_A_vs_C,0.8697211212592546,0.9694212501306569,0.9887813524575738,0.9940061625195783,0.9563506464485377,0.8698740140463115,0.9290529427087835,0.9590114851709365,0.9704295195953814,0.9580009896830181,0.8707067035768885,0.9609152458077532,0.7175775889199955,0.3129880680324554,0.3180764102620394,0.4807686860346886
